s,s,s
﻿不,2074,
﻿是,1900,
﻿我,1774,
﻿人,1608,
﻿来,1601,
﻿一,1542,
﻿了,1497,
﻿你,1266,
﻿有,1213,
﻿吓,1048,
﻿的,1022,
﻿去,912,
﻿得,894,
﻿这,862,
﻿他,855,
﻿那,853,
﻿在,814,
﻿小,779,
﻿也,732,
﻿好,724,
﻿子,715,
﻿此,703,
﻿生,696,
﻿儿,694,
﻿呀,646,
﻿上,630,
﻿里,619,
﻿何,598,
﻿天,592,
﻿下,592,
﻿相,591,
﻿娘,586,
﻿个,584,
﻿说,552,
﻿请,551,
﻿么,542,
﻿家,538,
﻿看,536,
﻿花,536,
﻿如,523,
﻿日,517,
﻿到,509,
﻿阿,508,
﻿要,507,
﻿为,498,
﻿之,494,
﻿无,488,
﻿只,488,
﻿老,487,
﻿今,469,
﻿心,461,
﻿见,461,
﻿可,460,
﻿大,438,
﻿怎,427,
﻿夫,416,
﻿中,403,
﻿公,387,
﻿风,377,
﻿道,377,
﻿俺,373,
﻿待,364,
﻿将,364,
﻿姐,362,
﻿把,357,
﻿自,356,
﻿知,353,
﻿与,338,
﻿香,334,
﻿就,333,
﻿情,333,
﻿时,314,
﻿多,308,
﻿难,308,
﻿事,308,
﻿门,308,
﻿出,305,
﻿做,304,
﻿前,303,
﻿山,303,
﻿行,299,
﻿罢,286,
﻿头,283,
﻿月,282,
﻿想,280,
﻿爷,279,
﻿身,277,
﻿起,273,
﻿三,272,
﻿又,272,
﻿春,271,
﻿官,268,
﻿年,267,
﻿便,267,
﻿酒,255,
﻿吖,250,
﻿万,249,
﻿还,249,
﻿女,248,
﻿哉,247,
﻿著,247,
﻿似,245,
﻿金,244,
﻿亲,239,
﻿过,237,
﻿梦,235,
﻿声,227,
﻿听,227,
﻿两,224,
﻿玉,220,
﻿成,219,
﻿回,217,
﻿朝,216,
﻿雲,215,
﻿教,215,
﻿红,215,
﻿当,214,
﻿格,214,
﻿问,213,
﻿没,210,
﻿处,210,
﻿再,210,
﻿什,209,
﻿和,209,
﻿谁,207,
﻿明,204,
﻿们,204,
﻿王,203,
﻿分,201,
﻿些,201,
﻿开,201,
﻿打,200,
﻿书,199,
﻿若,197,
﻿意,193,
﻿几,192,
﻿夜,192,
﻿且,189,
﻿宫,188,
﻿千,185,
﻿哈,185,
﻿然,185,
﻿正,184,
﻿已,183,
﻿地,182,
﻿早,182,
﻿君,181,
﻿未,180,
﻿敢,180,
﻿勿,179,
﻿十,178,
﻿言,175,
﻿叫,175,
﻿死,174,
﻿奴,173,
﻿走,172,
﻿仙,172,
﻿马,171,
﻿怕,171,
﻿主,170,
﻿才,168,
﻿曾,166,
﻿话,165,
﻿重,165,
﻿师,165,
﻿愁,163,
﻿郎,162,
﻿：,162,
﻿清,162,
﻿长,158,
﻿姑,158,
﻿爹,157,
﻿後,156,
﻿着,156,
﻿面,155,
﻿從,155,
﻿神,155,
﻿甚,154,
﻿少,154,
﻿方,153,
﻿先,153,
﻿拜,153,
﻿向,153,
﻿真,152,
﻿边,152,
﻿非,152,
﻿亇,152,
﻿望,151,
﻿会,151,
﻿别,150,
﻿㕶,150,
﻿臣,149,
﻿水,148,
﻿落,148,
﻿则,148,
﻿二,148,
﻿坐,147,
﻿思,147,
﻿名,146,
﻿休,146,
﻿间,146,
﻿命,145,
﻿恩,145,
﻿柳,145,
﻿免,144,
﻿原,144,
﻿画,144,
﻿恨,143,
﻿父,141,
﻿西,141,
﻿楼,141,
﻿高,140,
﻿岁,139,
﻿新,139,
﻿泪,138,
﻿都,138,
﻿进,138,
﻿能,137,
﻿咳,137,
﻿位,136,
﻿军,135,
﻿空,133,
﻿等,132,
﻿眼,132,
﻿梅,132,
﻿取,131,
﻿气,131,
﻿住,131,
﻿拉,131,
﻿恁,131,
﻿太,130,
﻿被,129,
﻿东,129,
﻿阳,129,
﻿因,128,
﻿呵,128,
﻿转,128,
﻿吃,128,
﻿路,127,
﻿双,127,
﻿青,126,
